updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2016-02-23 19:24:44.493000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Total,,,,,,Texas,BEXAR,ocd-division/country:us/state:tx/county:bexar,10884,,,,,2005
2016-02-23 19:24:44.493000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Joe Straus,,,,,REP,Texas,BEXAR,ocd-division/country:us/state:tx/county:bexar,6741,,,,,2005
2016-02-23 19:24:44.493000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Glen S. Starnes,,,,,REP,Texas,BEXAR,ocd-division/country:us/state:tx/county:bexar,151,,,,,2005
2016-02-23 19:24:44.493000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Rose Spector,,,,,DEM,Texas,BEXAR,ocd-division/country:us/state:tx/county:bexar,3655,,,,,2005
2016-02-23 19:24:44.493000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Paul Silbert,,,,,IND,Texas,BEXAR,ocd-division/country:us/state:tx/county:bexar,337,,,,,2005
2016-02-23 19:24:42.844000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Total,,,,,,,Texas,ocd-division/country:us/state:tx,10884,,,,,2005
2016-02-23 19:24:42.844000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Joe Straus,,,,,REP,,Texas,ocd-division/country:us/state:tx,6741,,,,,2005
2016-02-23 19:24:42.844000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Glen S. Starnes,,,,,REP,,Texas,ocd-division/country:us/state:tx,151,,,,,2005
2016-02-23 19:24:42.844000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Rose Spector,,,,,DEM,,Texas,ocd-division/country:us/state:tx,3655,,,,,2005
2016-02-23 19:24:42.844000,tx-2005-02-05-special-general,2005-02-05 00:00:00,2005-02-05 00:00:00,general,certified,True,State Representative,121  Unexpired Term,Paul Silbert,,,,,IND,,Texas,ocd-division/country:us/state:tx,337,,,,,2005
